"LANGUAGE","Русский","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'."
"MOD_NAME","ACME: Управление камерой","Mod name, used in-game."
"MOD_DESCRIPTION","A Camera Mod.","Mod description, visibile in content manager."
"CAM_XPOS","X-положение камеры","Slider title."
"CAM_ZPOS","Z-положение камеры","Slider title."
"CAM_ROT","Вращение вокруг цели","Slider title."
"CAM_SIZE","Отклонение от цели","Slider title."
"CAM_TILT","Наклон","Slider title."
"CAM_FOV","Поле зрения","Slider title."
"CAM_SLI_TIP","Shift: увеличение скорости (x10)
Alt: уменьшение скорости (/10)
Ctrl: сильное уменьшение скорости (/100)","Slider tooltip."
"CAM_COL_BLD","Препятствие зданием","Checkbox title."
"CAM_COL_NET","Препятствие дорогой","Checkbox title."
"CAM_COL_PRO","Препятствие реквизитом","Checkbox title."
"CAM_COL_TRE","Препятствие деревьями","Checkbox title."
"CAM_COL_WAT","Покачивание воды","Checkbox title."
"CAM_COL_GND","Минимальная высота камеры","Slider title."
"CAM_CLP_FAR","Far clipping plane","Slider title."
"CAM_CLP_FAR_L","По умолчанию: 20 км","Slider additional label."
"CAM_CLP_NEA","Near clipping plane","Slider title."
"CAM_CLP_NEA_L","Внимание: Может привести к теневому мерцанию < 2м","Slider additional label."
"CAM_SPD_MIN","Минимальная скорость движения камеры","Slider title."
"CAM_OPT_GEN","Основные","Options panel tab."
"CAM_OPT_CAM","Камера","Options panel tab."
"FPS_CONTROLS","Управление стилем FPS","Options panel tab - First-Person Shooter-style controls."
"CAM_OPT_DIS","Автоматически идти к бедствиям","Checkbox title."
"CAM_OPT_ZTC","Приблизить к курсору мыши","Checkbox title."
"CAM_OPT_DFR","Не изменять вращение камеры при следовании за автомобилем или гражданами","Checkbox title."
"CAM_OPT_ZTC_TIP","При выборе этого параметра масштабирование камеры будет установлено по указателю мыши (вместо выравнивания по центру экрана)","Checkbox tooltip."
"CAM_OPT_MDG","Перемещение карты","Options panel header."
"CAM_MDG_INX","Инвертировать ось X","Checkbox title."
"CAM_MDG_INY","Инвертировать ось Y","Checkbox title."
"CAM_MDG_SPD","Скорость перетягивания","Slider title."
"CAM_FPS_KTS","Скорость поворота клавиш","Slider title."
"CAM_FPS_KMS","Скорость перемещения клавиш","Slider title."
"CAM_FPS_MTS","Скорость вращения мыши","Slider title."
"CAM_OPT_SHD","Тени","Options panel header."
"CAM_OPT_OTH","Другое","Options panel tab."
"CAM_OPT_MIS","Разное","Options panel header."
"CAM_SHD_MAX","Максимальный множитель расстояния","Slider title."
"CAM_SHD_MIN","Резкость/дистанция","Slider title."
"SHARP","Резкие тени, близкая дальность","Slider additional label."
"FUZZY","Нечёткие тени, большая дальность","Slider additional label."
"KEY_KEY","Горячая клавиша","Key setting title."
"KEY_MDG","Перетаскивание карты","Key setting title."
"KEY_FPS","Переключить режим управления стилем FPS","Key setting title."
"KEY_ABS_UP","Вверх (абсолютный)","Key setting title."
"KEY_ABS_DWN","Вниз (абсолютный)","Key setting title."
"KEY_ABS_FWD","Вперед (абсолютный)","Key setting title."
"KEY_ABS_BCK","Назад (абсолютный)","Key setting title."
"KEY_ABS_LFT","Налево (абсолютный)","Key setting title."
"KEY_ABS_RHT","Направо (абсолютный)","Key setting title."
"KEY_REL_FWD","Вперед (относительный)","Key setting title."
"KEY_REL_BCK","Назад (относительный)","Key setting title."
"KEY_REL_LFT","Налево (относительный)","Key setting title."
"KEY_REL_RHT","Направо (относительный)","Key setting title."
"KEY_ROT_LFT","Повернуть налево","Key setting title."
"KEY_ROT_RHT","Повернуть направо","Key setting title."
"KEY_ROT_UP","Повернуть вверх","Key setting title."
"KEY_ROT_DWN","Повернуть вниз","Key setting title."
"KEY_ROT_MSE","Вид мыши","Key setting title."
"KEY_FPS_RES","Восстановиться по умолчанию","Button in options panel."
"KEY_FPS_RES_TIP","Сбрасывает назначенные ключи к настройкам по умолчанию, где это применимо.","Button tooltip."
"TAB_KEYS","Кнопки действий","Options panel tab: configure generic action hotkeys."
"KEY_RESET","Сброс вращения","Options panel item: set the hotkey to reset the camera rotation."
"KEY_RESET_TIP","Сброс вращения камеры до 90 градусов и направление прямо вниз","Options panel tooltip."
"KEY_GOTO_MOVEIT","Использовать клавиши от Move It","Key setting title."
"KEY_GOTO_MOVEIT_TIP","Перемещает камеру в центральную точку выделения Move It (если есть)","Key setting tooltip."
"KEY_XROT","Зафиксировать вращение оси X","Key setting title."
"KEY_YROT","Зафиксировать вращение оси Y","Key setting title."
"KEY_ROT_TIP","Нажмите эту кнопку и Ctrl, чтобы повернуть камеру на 15 градусов.
Используйте Ctrl+Alt, чтобы повернуть камеру на 45 градусов.
Используйте Shift, чтобы повернуть камеру на противоположную сторону.","Key setting tooltip."
"CAM_ERR_CON1","Эти моды должны быть удалены до того, как ACME будет работать.","Mod conflict warning."
